movieId,imdbId,tmdbId,title,year,genres,main_genre,overview,poster_url,runtime,avg_rating,rating_count,n_lines,n_words,avg_sentence_length,avg_word_length,difficult_word_ratio,vocabulary_diversity,words_per_minute,flesch_reading_ease,contraction_frequency,short_utterance_ratio,pronoun_ratio,avg_word_frequency_rank,language_difficulty_score,language_level
7763,120522,781.0,Winter Sleepers (Winterschläfer),2000,Drama|Romance,Drama,"Young blonde translator Rebecca lives with her boyfriend ski instructor Marco in a mountain villa owned by her friend, nurse Laura. Rene, local cinema projectionist, steals Marco's car and gets into a car crash with local Theo, whose daughter, after being in coma for a time, dies. Rene suffers from partial short term memory loss and starts a relationship with Laura. Meanwhile Marco is looking for the man who stole his car and Theo - for the man who killed his daughter...",https://image.tmdb.org/t/p/w342/9eSSVuhQ197uSzhgkuW8rKGQ1bo.jpg,120.0,3.5807693,130,995,4098,3.716890595009597,3.955331784146656,0.1056028918151303,13.931418832046369,32.275,97.07753807549985,0.07875032274722438,0.6497120921305183,0.12470952749806352,1528.744829369183,14.61146479611172,Beginner
3275,144117,8374.0,"Boondock Saints, The",2000,Action|Crime|Drama|Thriller,Action,"Tired of the crime overrunning the streets of Boston, Irish Catholic twin brothers Conner and Murphy are inspired by their faith to cleanse their hometown of evil with their own brand of zealous vigilante justice. As they hunt down and kill one notorious gangster after another, they become controversial folk heroes in the community. But Paul Smecker, an eccentric FBI agent, is fast closing in on their blood-soaked trail.",https://image.tmdb.org/t/p/w342/wtLUmkWg41xFLpvmUWAN1mm65f6.jpg,108.0,3.8604634,13251,1214,9709,5.312393887945671,4.039948865452221,0.1546820070310003,18.3720066259381,86.91666666666667,94.09546095157792,0.07521039735804837,0.43237125070741367,0.07968467028869713,2221.471621916612,29.82545316176038,Advanced
4144,118694,843.0,In the Mood For Love (Fa yeung nin wa),2000,Drama|Romance,Drama,"In 1960s Hong Kong, two neighbors form an intimate bond after making a discovery about their spouses in this visually stunning tale of unrequited love.",https://image.tmdb.org/t/p/w342/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg,99.0,4.0588994,4270,804,4516,4.36078431372549,3.924685251798561,0.1049910071942446,13.809477313391149,44.92929292929293,99.11235607984204,0.08565647482014388,0.5470588235294118,0.11196043165467626,1625.1036420863309,16.040310346951557,Beginner
65764,118852,49511.0,Chinese Coffee,2000,Drama,Drama,"When Harry Levine, an aging, unsuccessful Greenwich Village writer, is fired from his job as restaurant doorman, he calls on friend and mentor Jake, ostensibly to collect a long-standing debt.",https://image.tmdb.org/t/p/w342/nZGWnSuf1FIuzyEuMRZHHZWViAp.jpg,99.0,3.8387096,31,1599,14064,5.647875473285654,4.070689013035381,0.1497951582867784,19.608807354975564,135.6060606060606,90.74745667394468,0.05608938547486034,0.3988220445940261,0.1133705772811918,2554.3436497874563,35.64294705208912,Advanced
5515,120263,34070.0,Songs From the Second Floor (Sånger från andra våningen),2000,Drama,Drama,A monumental traffic jam serves as the backdrop for the lives of the inhabitants of a Swedish city.,https://image.tmdb.org/t/p/w342/xMZieoxiQ1hb5zraZlhzcvU7MGN.jpg,99.0,3.8355818,593,882,5195,5.262105263157895,3.9571914382876576,0.1152230446089217,13.832391948372583,50.494949494949495,95.79050246575632,0.0692138427685537,0.4589473684210526,0.08281656331266253,1652.8833533413365,18.18030383790934,Beginner
3751,120630,7443.0,Chicken Run,2000,Animation|Children|Comedy,Animation,"The creators of Wallace & Gromit bring you an exciting and original story about a group of chickens determined to fly the coop–even if they can’t fly! It’s hardly poultry in motion when Rocky attempts to teach Ginger and her feathered friends to fly…but, with teamwork, determination and a little bit o’ cluck, the fearless flock plots one last attempt in a spectacular bid for freedom.",https://image.tmdb.org/t/p/w342/8XgmIsbpVamdhwcNVsYzohFZTtT.jpg,84.0,3.4710538,23941,1244,6296,4.392999204455052,4.045454545454546,0.1713147410358565,16.700273373502853,65.73809523809524,95.80645712946291,0.07642158638174575,0.5926809864757359,0.08837377761680551,2684.964318223193,26.56090374860072,Advanced
3623,120755,955.0,Mission: Impossible II,2000,Action|Adventure|Thriller,Action,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",https://image.tmdb.org/t/p/w342/hfnrual76gPeNFduhD4xzHWpfTw.jpg,123.0,2.983597,23898,791,6003,5.70377541142304,4.180414120841819,0.1768499660556687,17.73073569987798,47.90243902439025,87.0826333341877,0.05736591989137814,0.45498547918683446,0.08893414799728445,2779.7348394768132,27.90827744417016,Advanced
3793,120903,36657.0,X-Men,2000,Action|Adventure|Sci-Fi,Action,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.",https://image.tmdb.org/t/p/w342/bRDAc4GogyS9ci3ow7UnInOcriN.jpg,104.0,3.5342085,42387,621,4621,5.573047858942066,4.221468926553673,0.151864406779661,16.881969788943536,42.54807692307692,87.05916998249587,0.05807909604519774,0.4722921914357683,0.10259887005649718,1946.6758714350385,24.56188406507038,Intermediate
3745,120913,7450.0,Titan A.E.,2000,Action|Adventure|Animation|Children|Sci-Fi,Action,"A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Drej are bent on mankind's destruction.",https://image.tmdb.org/t/p/w342/el2iHk3LTJWfEnwrvcRkvWY501G.jpg,95.0,3.279635,7179,1088,5541,4.438297872340425,4.023969319271333,0.147267497603068,15.938526441294584,54.89473684210526,95.39183427510662,0.07651006711409396,0.5795744680851064,0.09606903163950144,3026.025843780135,22.864779600656927,Intermediate
4016,120917,11688.0,"Emperor's New Groove, The",2000,Adventure|Animation|Children|Comedy|Fantasy,Adventure,"When the self‑absorbed Emperor Kuzco is accidentally transformed into a llama, he must rely on a humble villager to survive the jungle and reclaim his throne.",https://image.tmdb.org/t/p/w342/wwbgkXQBEKtnyIJapk6gUgWkVw8.jpg,78.0,3.647044,11806,1265,8672,5.750522648083623,3.6419049927290352,0.1376635967038293,14.718101635528836,105.7948717948718,97.421656254803,0.0,0.4912891986062718,0.12603005332040718,2250.6409355307806,25.55164518945164,Intermediate
